"Gioco","Piattaforma","VotoMetacritic","UserScore","Genre","Players"
DAY OF THE TENTACLE REMASTERED,PS4,,,,
DEAD ISLAND DEFINITIVE EDITION,PS4,,,,
DEAD ISLAND RETRO REVENGE,PS4,,,,
DEAD NATION: APOCALYPSE EDITION,PS4,,,,
DEADLIGHT DIRECTOR'S CUT,PS4,,,,
DE BLOB,PS4,,,,
DESERT CHILD,PS4,,,,
DESTROY ALL HUMANS!,PS2,,,
DEFENSE GRID 2,PS4,,,,
DIRT 4,PS4,,,,
DIRT RALLY,PS4,,,,
DISGAEA 5: ALLIANCE OF VENGEANCE,PS4,,,,
DISHONORED 2,PS4,,,,
DOKI-DOKI UNIVERSE,PS4,,,,
DON'T DIE MR. ROBOT!,PS4,,,,
DOOM,PS4,,,,
DUNGEONS 2,PS4,,,,
DYNAMITE FISHING - WORLD GAMES,PS4,,,,
DAMNATION,PS3,,,,
DARK MIST,PS3,,,,
DARK VOID,PS3,,,,
DARKSTALKERS RESURRECTION,PS3,,,,
DAYTONA USA,PS3,,,,
DE BLOB 2,PS3,,,,
DEAD ISLAND: RIPTIDE,PS3,,,,
DEAD OR ALIVE 5 LAST ROUND,PS3,,,,
DEAD OR ALIVE 5 ULTIMATE,PS3,,,,
DEAD SPACE 3,PS3,,,,
DEADLY PREMONITION: DIRECTORS CUT,PS3,,,,
DEATH TRACK: RESURRECTION,PS3,,,,
DECEPTION IV: BLOOD TIES,PS3,,,,
DECEPTION IV: THE NIGHTMARE PRINCESS,PS3,,,,
.DETUNED,PS3,,,,
DEVIL MAY CRY 4,PS3,,,,
DEVIL MAY CRY HD COLLECTION,PS3,,,,
DISGAEA 3: ABSENCE OF JUSTICE,PS3,,,,
DISGAEA 4: A PROMISE UNFORGOTTEN,PS3,,,,
DISGAEA D2: A BRIGHTER DARKNESS,PS3,,,,
DISHONORED,PS3,,,,
DISNEY EPIC MICKEY: THE POWER OF TWO,PS3,,,,
DISNEY PIXAR BRAVE,PS3,,,,
DISNEY PIXAR CARS 2 THE VIDEOGAME,PS3,,,,
DISNEY PIXAR TOY STORY MANIA!,PS3,,,,
DISNEY UNIVERSE ULTIMATE EDITION,PS3,,,,
DON BRADMAN CRICKET 14,PS3,,,,
DOUBLE DRAGON NEON,PS3,,,,
DUKE NUKEM FOREVER,PS3,,,,
DYNASTY WARRIORS 6,PS3,,,,
DYNASTY WARRIORS 6 EMPIRES,PS3,,,,
DYNASTY WARRIORS 7,PS3,,,,
DYNASTY WARRIORS 7 EMPIRES,PS3,,,,
DYNASTY WARRIORS 7 XTREME LEGENDS,PS3,,,,
DYNASTY WARRIORS 8,PS3,,,,
DYNASTY WARRIORS 8: XTREME LEGENDS,PS3,,,,
DYNASTY WARRIORS: STRIKEFORCE,PS3,,,,
EARTH DEFENSE FORCE 4.1: THE SHADOW OF NEW DESPAIR,PS4,,,,
EARTH'S DAWN,PS4,,,,
ELECTRONIC SUPER JOY,PS4,,,,
ENIGMATIS 2: THE MISTS OF RAVENWOOD,PS4,,,,
ENIGMATIS: THE GHOSTS OF MAPLE CREEK,PS4,,,,
ENTWINED,PS4,,,,
ESCAPE PLAN,PS4,,,,
EVE: VALKYRIE - WARZONE,PS4,,,,
EVENTIDE: SLAVIC FABLE,PS4,,,,
EVERYBODY'S GONE TO THE RAPTURE,PS4,,,,
EVERYBODY'S TENNIS,PS2,,,
EXILE'S END,PS4,,,,
EXIST ARCHIVE: THE OTHER SIDE OF THE SKY,PS4,,,,
EXTREME EXORCISM,PS4,,,,
EAT THEM!,PS3,,,,
ECHOCHROME,PS3,,,,
ELEFUNK,PS3,,,,
ETHAN: METEOR HUNTER,PS3,,,,
EUFLORIA,PS3,,,,
EVERYBODY'S GOLF,PS4,,,
EVERYBODY'S GOLF: WORLD TOUR,PS3,,,,
F1 2015,PS4,,,,
F1 2016,PS4,,,,
F1 2017,PS4,,,,
F1 2019,PS4,,,,
FAIRY FENCER F ADVENT DARK FORCE,PS4,,,,
FALLOUT 4,PS4,,,,
FANTAVISION,PS2,,,
FARMING SIMULATOR 15,PS4,,,,
FARMING SIMULATOR 17,PS4,,,,
FARMING SIMULATOR 19,PS4,,,,
FAT PRINCESS ADVENTURES,PS4,,,,
FLUSTER CLUCK,PS4,,,,
FOR HONOR,PS4,,,,
FORBIDDEN SIREN,PS2,,,
F.E.A.R. FIRST ENCOUNTER ASSAULT RECON,PS3,,,,
F1 2014,PS3,,,,
F1 RACE STARS,PS3,,,,
FAERY : LEGENDS OF AVALON,PS3,,,,
FALLOUT 3,PS3,,,,
FALLOUT: NEW VEGAS,PS3,,,,
FIGHTING VIPERS,PS3,,,,
FINAL EXAM,PS3,,,,
FINAL FIGHT: DOUBLE IMPACT,PS3,,,,
FLOW,PS3,,,,
FLOWER,PS3,,,,
FROGGER RETURNS,PS3,,,,
GAL*GUN: DOUBLE PEACE,PS4,,,,
GAROU: MARK OF THE WOLVES,PS4,,,,
GEM SMASHERS,PS4,,,,
GET EVEN,PS4,,,,
GIANA SISTERS: TWISTED DREAMS - DIRECTOR'S CUT,PS4,,,,
GOD EATER 2: RAGE BURST,PS4,,,,
GOD OF WAR® III REMASTERED,PS4,,,,
GRAND AGES: MEDIEVAL,PS4,,,,
GRAND KINGDOM,PS4,,,,
GRAVITY RUSH REMASTERED,PS4,,,,
GRAVITY RUSH 2,PS4,,,,
GRIM FANDANGO REMASTERED,PS4,,,,
GRIM LEGENDS: THE FORSAKEN BRIDE,PS4,,,,
GUILTY GEAR XRD -REVELATOR-,PS4,,,,
GENJI: DAYS OF THE BLADE,PS3,,,,
G-FORCE,PS3,,,,
GO! PUZZLE,PS3,,,,
GOD OF WAR,PS2,,,
GOD OF WAR II,PS2,,,
GOD OF WAR: ASCENSION,PS3,,,,
GOD OF WAR: CHAINS OF OLYMPUS,PS3,,,,
GOD OF WAR: GHOST OF SPARTA,PS3,,,,
GOLDEN AXE,PS3,,,,
GRAVITY CRASH,PS3,,,,
GREG HASTINGS PAINTBALL 2,PS3,,,,
GRID 2,PS3,,,,
GRID AUTOSPORT,PS3,,,,
GUACAMELEE!,PS3,,,,
HARDWARE: RIVALS,PS4,,,,
HEAVY RAIN,PS4,,,,
HELLO NEIGHBOR,PS4,,,,
HOHOKUM,PS4,,,,
HOLLOW KNIGHT VOIDHEART EDITION,PS4,,,,
HOTEL TRANSYLVANIA 3 MONSTERS OVERBOARD,PS4,,,,
HOW TO SURVIVE - STORM WARNING EDITION,PS4,,,,
HAKUOKI: STORIES OF THE SHINSENGUMI,PS3,,,,
HAMILTON'S GREAT ADVENTURE,PS3,,,,
HAMSTERBALL,PS3,,,,
HEAVENLY SWORD,PS3,,,,
HEAVY FIRE AFGHANISTAN,PS3,,,,
HOUSE OF THE DEAD 4,PS3,,,,
HUNTED: THE DEMON'S FORGE,PS3,,,,
HUNTER'S TROPHY 2 - AMERICA,PS3,,,,
HUNTER'S TROPHY 2 - AUSTRALIA,PS3,,,,
HUSTLE KINGS,PS3,,,,
I AM BREAD,PS4,,,,
I ZOMBIE,PS4,,,,
IN SPACE WE BRAWL,PS4,,,,
INFINITE MINI GOLF,PS4,,,,
INSIDE MY RADIO,PS4,,,,
IRONCAST,PS4,,,,
IBB & OBB,PS3,,,,
ICO,PS2,,,
INFAMOUS,PS3,,,,
INFAMOUS 2,PS3,,,,
INFAMOUS: FESTIVAL OF BLOOD,PS3,,,,
INJUSTICE: GODS AMONG US ULTIMATE EDITION,PS3,,,,
INVIZIMALS THE LOST KINGDOM,PS3,,,,
JOE DEVER'S LONE WOLF,PS4,,,,
JETPACK JOYRIDE DELUXE,PS3,,,,
JOE DANGER 2: THE MOVIE,PS3,,,,
JOURNEY,PS3,,,,
JUDGE DEE - THE CITY GOD CASE,PS3,,,,
KICKBEAT SPECIAL EDITION,PS4,,,,
KILLZONE: SHADOW FALL,PS4,,,,
KINETICA,PS2,,,
KING ODDBALL,PS4,,,,
KINGDOM: NEW LANDS,PS4,,,,
KNACK,PS4,,,,
KRINKLE KRUSHER,PS4,,,,
KROMAIA Ω,PS4,,,,
KILLZONE,PS3,,,,
KILLZONE 2,PS3,,,,
KILLZONE 3,PS3,,,,
KNYTT UNDERGROUND,PS3,,,,
KUNG FU RABBIT,PS3,,,,
LEGEND OF KAY ANNIVERSARY,PS4,,,,
LEGO BATMAN 3: BEYOND GOTHAM,PS4,,,,
LEGO WORLDS,PS4,,,,
LEO'S FORTUNE,PS4,,,,
LIMBO,PS3,,,
LITTLEBIGPLANET 3,PS4,,,,
LOCK'S QUEST,PS4,,,,
LOCOROCO REMASTERED,PS4,,,,
LONE SURVIVOR: THE DIRECTOR'S CUT,PS4,,,,
LORDS OF THE FALLEN,PS4,,,,
LOST SEA,PS4,,,,
LOVELY PLANET,PS4,,,,
LUMO,PS4,,,,
LEARNING WITH THE POOYOOS - EPISODE 1,PS3,,,,
LEGASISTA,PS3,,,,
LEGO BATMAN 2: DC SUPER HEROES,PS3,,,,
LEGO BATMAN: THE VIDEOGAME,PS3,,,,
LEGO HARRY POTTER: YEARS 1-4,PS3,,,,
LEGO HARRY POTTER: YEARS 5-7,PS3,,,,
LEGO STAR WARS™ III: THE CLONE WARS™,PS3,,,,
LEGO STAR WARS™: THE COMPLETE SAGA,PS3,,,,
LEGO® DISNEY PIRATES OF THE CARIBBEAN THE VIDEOGAME,PS3,,,,
LEGO® INDIANA JONES™ 2: THE ADVENTURE CONTINUES,PS3,,,,
LEGO® INDIANA JONES™: THE ORIGINAL ADVENTURES,PS3,,,,
LEMMINGS,PS3,,,,
LINGER IN SHADOWS,PS3,,,,
LITTLEBIGPLANET 3,PS3,,,,
LOCOROCO COCORECCHO,PS3,,,,
LOST PLANET,PS3,,,,
LOST PLANET 2,PS3,,,,
LOST PLANET 3,PS3,,,,
MAFIA III,PS4,,,,
MAGICKA 2,PS4,,,,
MALICIOUS FALLEN,PS4,,,,
MANTIS BURN RACING,PS4,,,,
MASTERCUBE,PS4,,,,
MEGADIMENSION NEPTUNIA VII,PS4,,,,
METAL GEAR SOLID GROUND ZEROES,PS4,,,,
METAL GEAR SOLID V: THE PHANTOM PAIN,PS4,,,,
METAL SLUG 3,PS4,,,,
METRO EXODUS,PS4,,,,
METRO 2033 REDUX,PS4,,,,
METRO: LAST LIGHT REDUX,PS4,,,,
MINUTES,PS4,,,,
MITSURUGI KAMUI HIKAE,PS4,,,,
MOMONGA PINBALL ADVENTURES,PS4,,,,
MONSTER ENERGY SUPERCROSS,PS4,,,,
MORDHEIM - CITY OF THE DAMNED,PS4,,,,
MOTOGP 17,PS4,,,,
MOUNT & BLADE: WARBAND,PS4,,,,
MOUSECRAFT,PS4,,,,
MUDRUNNER,PS4,,,,
MX VS ATV SUPERCROSS ENCORE,PS4,,,,
MXGP2 - THE OFFICIAL MOTOCROSS VIDEOGAME,PS4,,,,
MXGP3 – THE OFFICIAL MOTOCROSS VIDEOGAME,PS4,,,,
MYSTERY CHRONICLE: ONE WAY HEROICS,PS4,,,,
MACHINARIUM,PS3,,,,
MAFIA 2,PS3,,,,
MAGIC ORBZ,PS3,,,,
MAGUS,PS3,,,,
MAHJONG TALES : ANCIENT WISDOM,PS3,,,,
MARS: WAR LOGS,PS3,,,,
MEGA MAN 10,PS3,,,,
MEGA MAN 9,PS3,,,,
METAL GEAR RISING: REVENGEANCE,PS3,,,,
METAL GEAR SOLID HD COLLECTION,PS3,,,,
MIRROR'S EDGE,PS3,,,,
MONKEY ISLAND 2 SPECIAL EDITION: LECHUCK’S REVENGE,PS3,,,,
MORTAL KOMBAT KOMPLETE EDITION,PS3,,,,
MOTOGP 15,PS3,,,,
MOTORCYCLE CLUB,PS3,,,,
MOTORSTORM APOCALYPSE,PS3,,,,
MOTORSTORM RC COMPLETE EDITION,PS3,,,,
MX VS ATV: ALIVE,PS3,,,,
MX VS ATV: UNTAMED,PS3,,,,
MX VS. ATV: REFLEX,PS3,,,,
MXGP – THE OFFICIAL MOTOCROSS VIDEOGAME,PS3,,,,
NASCAR HEAT 3,PS4,,,,
NASCAR HEAT 4,PS4,,,,
NATURAL DOCTRINE,PS4,,,,
NBA 2K18,PS4,,,,
NEON CHROME,PS4,,,,
NEUROVOIDER,PS4,,,,
NIDHOGG,PS4,,,,
NIGHTMARES FROM THE DEEP: THE CURSED HEART,PS4,,,,
NIGHTMARES FROM THE DEEP 2: THE SIREN`S CALL,PS4,,,,
NINJA PIZZA GIRL,PS4,,,,
NIGHTS OF AZURE,PS4,,,,
NIGHTS OF AZURE 2: BRIDE OF THE NEW MOON,PS4,,,,
NO TIME TO EXPLAIN,PS4,,,,
NOM NOM GALAXY,PS4,,,,
NOVA-111,PS4,,,,
NEED FOR SPEED RIVALS,PS3,,,,
NIGHTS INTO DREAMS,PS3,,,,
NINJA GAIDEN 3: RAZOR'S EDGE,PS3,,,,
NINJA GAIDEN SIGMA 2,PS3,,,,
NOBUNAGA'S AMBITION : SPHERE OF INFLUENCE,PS3,,,,
NUMBLAST,PS3,,,,
OBLITERACERS,PS4,,,,
OKAGE: SHADOW KING,PS2,,,
OLLIOLLI,PS4,,,,
OLLIOLLI2: WELCOME TO OLLIWOOD,PS4,,,,
OMEGA_QUINTET,PS4,,,,
OVERCOOKED! 2,PS4,,,,
OVERLORD: FELLOWSHIP OF EVIL,PS4,,,,
ODDWORLD: STRANGER'S WRATH HD,PS3,,,,
OF ORCS AND MEN,PS3,,,,
OPERATION FLASHPOINT: DRAGON RISING,PS3,,,,
OPERATION FLASHPOINT: RED RIVER,PS3,,,,
ORDER UP!!,PS3,,,,
OVERLORD II,PS3,,,,
OVERLORD RAISING HELL,PS3,,,,
PAC-MAN CHAMPIONSHIP EDITION 2,PS4,,,,
PANG ADVENTURES,PS4,,,,
PAYDAY 2: CRIMEWAVE EDITION,PS4,,,,
PHARAONIC,PS4,,,,
PILLARS OF ETERNITY: COMPLETE EDITION,PS4,,,,
PIX THE CAT,PS4,,,,
PIXEL HEROES: BYTE & MAGIC,PS4,,,,
PIXEL PIRACY,PS4,,,,
PIXELJUNK SHOOTER ULTIMATE,PS4,,,,
PLAGUE ROAD,PS4,,,,
PONCHO,PS4,,,,
PREY,PS4,,,,
PRIMAL,PS2,,,
PLAYERUNKNOWN'S BATTLEGROUNDS,PS4,,,,
PUMPED BMX +,PS4,,,,
PURE HOLD'EM WORLD POKER CHAMPIONSHIP,PS4,,,,
PURE POOL,PS4,,,,
PAINKILLER HELL & DAMNATION,PS3,,,,
PAPO & YO,PS3,,,,
PHINEAS AND FERB ACROSS THE 2ND DIMENSION,PS3,,,,
PID,PS3,,,,
PIRATES OF THE CARIBBEAN: AT WORLD'S END,PS3,,,,
PIXELJUNK EDEN FULLY GROWN EDITION,PS3,,,,
PIXELJUNK MONSTERS BIG BITE EDITION,PS3,,,,
PIXELJUNK RACERS 2ND LAP,PS3,,,,
PIXELJUNK SHOOTER,PS3,,,,
PIXELJUNK SHOOTER 2,PS3,,,,
PIXELJUNK SIDESCROLLER,PS3,,,,
PIYOTAMA,PS3,,,,
PLANET MINIGOLF,PS3,,,,
PLANETS UNDER ATTACK,PS3,,,,
POOL NATION,PS3,,,,
PORT ROYALE 3,PS3,,,,
PROTEUS,PS3,,,,
PUPPETEER,PS3,,,,
PUZZLE AGENT,PS3,,,,
Q*BERT REBOOTED,PS4,,,,
QUANTUM THEORY,PS3,,,,
RAD RODGERS,PS4,,,,
RAIDEN V: DIRECTOR'S CUT,PS4,,,,
RAINBOW MOON,PS4,,,,
RAPALA FISHING: PRO SERIES,PS4,,,,
REAL FARM,PS4,,,,
REBEL GALAXY,PS4,,,,
RED FACTION,PS2,,,
RED FACTION II,PS2,,,
RED FACTION GUERRILLA RE-MARS-TERED,PS4,,,,
RESOGUN,PS4,,,,
REUS,PS4,,,,
RIDE 3,PS4,,,,
RISEN 3: TITAN LORDS - ENHANCED EDITION,PS4,,,,
RIVE,PS4,,,,
ROCKET LEAGUE,PS4,,,,
ROGUE GALAXY,PS2,,,
ROGUE STORMERS,PS4,,,,
ROMANCE OF THE THREE KINGDOMS 13,PS4,,,,
RAG DOLL KUNG FU: FISTS OF PLASTIC,PS3,,,,
RAGE,PS3,,,,
RAGNAROK ODYSSEY ACE,PS3,,,,
RAIDEN IV: OVERKILL,PS3,,,,
RAIN,PS3,,,,
RATATOUILLE,PS3,,,,
RATCHET & CLANK ALL 4 ONE,PS3,,,,
RATCHET & CLANK NEXUS,PS3,,,,
RATCHET & CLANK Q-FORCE,PS3,,,,
RATCHET & CLANK: A CRACK IN TIME,PS3,,,,
RATCHET & CLANK:QUEST FOR BOOTY,PS3,,,,
REALMS OF ANCIENT WAR,PS3,,,,
RED DEAD REDEMPTION,PS3,,,,
RED DEAD REDEMPTION: UNDEAD NIGHTMARE,PS3,,,,
RED FACTION: GUERRILLA,PS3,,,,
RED JOHNSON'S CHRONICLES,PS3,,,,
RED JOHNSON'S CHRONICLES - ONE AGAINST ALL,PS3,,,,
RENEGADE OPS,PS3,,,,
RESIDENT EVIL CODE:VERONICA X,PS3,,,,
RESIDENT EVIL OPERATION RACCOON CITY,PS3,,,,
RESIDENT EVIL REVELATIONS,PS3,,,,
RESIDENT EVIL REVELATIONS 2,PS3,,,,
RESIDENT EVIL UMBRELLA CHRONICLES,PS3,,,,
RESIDENT EVIL: THE DARKSIDE CHRONICLES,PS3,,,,
RESISTANCE 3,PS3,,,,
RETRO CITY RAMPAGE DX,PS3,,,,
RETRO/GRADE,PS3,,,,
RICOCHET HD,PS3,,,,
RIDE,PS3,,,,
RIFF: EVERYDAY SHOOTER,PS3,,,,
RISE OF THE ARGONAUTS,PS3,,,,
ROCKETBIRDS: HARDBOILED CHICKEN,PS3,,,,
ROTASTIC,PS3,,,,
R-TYPE DIMENSIONS,PS3,,,,
RUNNER 2: A FLAT OUT RUN OF THE RHYTHM ALIEN,PS3,,,,
SAINTS ROW GAT OUT OF HELL,PS4,,,,
SAINTS ROW IV RE-ELECTED,PS4,,,,
SEASONS AFTER FALL,PS4,,,,
SÉBASTIEN LOEB RALLY EVO,PS4,,,,
SHADOW COMPLEX REMASTERED,PS4,,,,
SHADOW OF THE BEAST,PS4,,,,
SHADOW OF THE TOMB RAIDER,PS4,,,,
SHADWEN,PS4,,,,
SHERLOCK HOLMES - CRIMES AND PUNISHMENTS,PS4,,,,
SHERLOCK HOLMES: THE DEVIL'S DAUGHTER,PS4,,,,
SHINESS: THE LIGHTNING KINGDOM,PS4,,,,
SINE MORA EX,PS4,,,,
SKYSCRAPPERS,PS4,,,,
SLIME-SAN: SUPERSLIME EDITION,PS4,,,,
SNIPER ELITE 3 ULTIMATE EDITION,PS4,,,,
SNIPER ELITE 4,PS4,,,,
SOMA,PS4,,,,
SOUL AXIOM,PS4,,,,
SOUND SHAPES,PS4,,,,
SPARKLE 2,PS4,,,,
SPARKLE UNLEASHED,PS4,,,,
SQUARE HEROES,PS4,,,,
STARDUST GALAXY WARRIORS: STELLAR CLIMAX,PS4,,,,
STAR WARS® BOUNTY HUNTER™,PS2,,,
STAR WARS® JEDI STARFIGHTER™,PS2,,,
STAR WARS® RACER REVENGE™,PS2,,,
STEALTH INC 2: A GAME OF CLONES,PS4,,,,
STEALTH INC ULTIMATE EDITION,PS4,,,,
STEEP,PS4,,,,
STEREDENN: BINARY STARS,PS4,,,,
STICK IT TO THE MAN,PS4,,,,
STIKBOLD! A DODGEBALL ADVENTURE,PS4,,,,
STREET FIGHTER V,PS4,,,,
STRIDER,PS4,,,,
STRIKE SUIT ZERO: DIRECTOR'S CUT,PS4,,,,
STYX: MASTER OF SHADOWS,PS4,,,,
STYX: SHARDS OF DARKNESS,PS4,,,,
SUPER EXPLODING ZOO!,PS4,,,,
SUPER MEGA BASEBALL,PS4,,,,
SUPER STAR WARS,PS4,,,,
SUPER STARDUST ULTRA,PS4,,,,
SUPER TOY CARS,PS4,,,,
SURGEON SIMULATOR: ANNIVERSARY EDITION,PS4,,,,
SACRED CITADEL,PS3,,,,
SAINTS ROW 2,PS3,,,,
SAM & MAX BTS: EPISODE 1 - ICE STATION SANTA,PS3,,,,
SAM & MAX BTS: EPISODE 2 - MOAI BETTER BLUES,PS3,,,,
SAM & MAX BTS: EPISODE 3 - NIGHT OF THE RAVING DEAD,PS3,,,,
SAM & MAX BTS: EPISODE 4 - CHARIOTS OF THE DOGS,PS3,,,,
SAM & MAX BTS: EPISODE 5 - WHAT'S NEW BEELZEBUB?,PS3,,,,
SAM & MAX THE DEVIL'S PLAYHOUSE - EP 1,PS3,,,,
SAM & MAX THE DEVIL'S PLAYHOUSE - EP 2,PS3,,,,
SAM & MAX THE DEVIL'S PLAYHOUSE - EP 3,PS3,,,,
SAM & MAX THE DEVIL'S PLAYHOUSE - EP 4,PS3,,,,
SAM & MAX THE DEVIL'S PLAYHOUSE - EP 5,PS3,,,,
SAMURAI WARRIORS 4,PS3,,,,
SAVAGE MOON,PS3,,,,
SHADOW OF THE COLOSSUS,PS2,,,
SHATTER,PS3,,,,
SID MEIER'S CIVILIZATION REVOLUTION,PS3,,,,
SILENT HILL HD COLLECTION,PS3,,,,
SIREN BLOOD CURSE,PS3,,,,
SKULLGIRLS ENCORE,PS3,,,,
SKY FIGHTER,PS3,,,,
SKYDIVE: PROXIMITY FLIGHT,PS3,,,,
SLY COOPER: THIEVES IN TIME,PS3,,,,
SMASH CARS,PS3,,,,
SNAKEBALL,PS3,,,,
SNIPER ELITE V2,PS3,,,,
